company_id,type,rule_id,text,confidence_pct
ABB,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,80.54
ABB,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
ABB,pro,PRO_3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,95.0
ABB,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,68.39
ABB,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
ABB,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,78.32
ABB,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
ABB,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,88.95
ABB,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,80.0
ADANIENSOL,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,70.7
ADANIENSOL,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,72.5
ADANIENSOL,con,CON_1,Debt-to-equity ratio of 2.93 is elevated for a non-financial company and warrants monitoring,78.99
ADANIENSOL,con,CON_3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75.0
ADANIENSOL,con,CON_9,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,75.0
ADANIENSOL,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,78.71
ADANIENT,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,73.03
ADANIENT,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,100.0
ADANIENT,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,98.9
ADANIENT,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
ADANIENT,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
ADANIENT,con,CON_5,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,75.0
ADANIENT,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,65.01
ADANIENT,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,72.6
ADANIGREEN,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,100.0
ADANIGREEN,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ADANIGREEN,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,100.0
ADANIGREEN,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
ADANIGREEN,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
ADANIGREEN,con,CON_1,Debt-to-equity ratio of 6.60 is elevated for a non-financial company and warrants monitoring,100.0
ADANIGREEN,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,66.28
ADANIGREEN,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,86.91
ADANIPORTS,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,77.66
ADANIPORTS,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,74.16
ADANIPORTS,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ADANIPORTS,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
ADANIPOWER,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,91.93
ADANIPOWER,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
